CustomerId,Surname,ChurnScore,PredictedExited,RiskGrade
15654495,Potter,0.6457,1,High
15784676,Fanucci,0.6449,1,High
15572265,Wu,0.6448,1,High
15568748,Poole,0.644,1,High
15619343,Mahmood,0.6432,1,High
15672516,Wall,0.643,1,High
15755223,Tseng,0.6429,1,High
15807595,Ijendu,0.6421,1,High
15571778,Trentini,0.6381,1,High
15633930,Yobachukwu,0.6374,1,High
15605279,Francis,0.6359,1,High
15782390,T'ien,0.6356,1,High
15779947,Thomas,0.6334,1,High
15653762,Chidiebele,0.6308,1,High
15659105,Borchgrevink,0.6307,1,High
15634891,Jamison,0.6298,1,High
15775238,Achebe,0.6215,1,High
15591047,Ma,0.6203,1,High
15736008,Hunter,0.6198,1,High
15763274,Wu,0.6184,1,High
15742272,Ozerova,0.6163,1,High
15576683,Yin,0.6113,1,High
15605447,Palermo,0.6102,1,High
15677921,Bobrov,0.6098,1,High
15772896,Dumetochukwu,0.6079,1,High
15703264,Chukwufumnanya,0.6052,1,High
15680920,Marchesi,0.6049,1,High
15806467,Boyle,0.604,1,High
15750466,Rhodes,0.604,1,High
15586970,Pinto,0.603,1,High
15637240,Wei,0.6026,1,High
15680970,Lombardi,0.6005,1,High
15756026,Hooper,0.5985,1,High
15661507,Muldrow,0.5969,1,High
15620981,Wickham,0.5964,1,High
15617078,Ewing,0.5957,1,High
15755196,Lavine,0.5942,1,High
15670823,Hsueh,0.5924,1,High
15570060,Palerma,0.5911,1,High
15723488,Watson,0.5874,1,High
15775203,Chia,0.5857,1,High
15595537,Trout,0.5827,1,High
15752300,Sagese,0.5809,1,High
15623944,T'ien,0.5774,1,High
15707120,Cocci,0.577,1,High
15599081,Watt,0.5725,1,High
15807609,Yuan,0.5666,1,High
15701096,De Garis,0.5639,1,High
15586264,Murray,0.5617,1,High
15775662,McKay,0.5587,1,High
15690647,Rogers,0.5587,1,High
15662100,Hsu,0.556,1,High
15753370,McDonald,0.5535,1,High
15781989,Drake-Brockman,0.5493,1,High
15678284,Pai,0.5491,1,High
15775572,Bergamaschi,0.5488,1,High
15705860,McKenzie,0.5461,1,High
15625824,Kornilova,0.5457,1,High
15585888,Nwokezuike,0.545,1,High
15658169,Cook,0.5447,1,High
15679760,Slattery,0.5429,1,High
15754796,Byrne,0.5343,1,High
15807663,McGregor,0.5337,1,High
15764351,Yuryeva,0.5333,1,High
15701301,Murphy,0.5331,1,High
15725141,Whiddon,0.5318,1,High
15651554,Anenechukwu,0.531,1,High
15719377,Cocci,0.53,1,High
15567367,Tao,0.5289,1,High
15629078,Matthias,0.5271,1,High
15812628,Dodd,0.5256,1,High
15784209,Tang,0.5243,1,High
15792328,James,0.524,1,High
15774854,Fuller,0.5237,1,High
15790299,Williamson,0.522,1,High
15725355,Morey,0.5216,1,High
15616550,Chidiebele,0.5214,1,High
15743192,Hung,0.521,1,High
15700223,Steiner,0.5181,1,High
15622834,Stevenson,0.5179,1,High
15769216,Panicucci,0.5153,1,High
15581036,Beyer,0.5134,1,High
15775891,Myers,0.5124,1,High
15728693,McWilliams,0.5109,1,High
15588537,Robinson,0.5056,1,High
15628203,Pai,0.5055,1,High
15656912,Aitken,0.5051,1,High
15592877,Wright,0.5047,1,High
15576313,Wei,0.502,1,High
15764105,Milne,0.5009,1,High
15578809,Hao,0.4988,0,Mid
15741385,Gallop,0.4953,0,Mid
15663441,Golibe,0.4944,0,Mid
15700255,Robson,0.4929,0,Mid
15661734,Taylor,0.492,0,Mid
15812982,Francis,0.4886,0,Mid
15709387,Obiajulu,0.4875,0,Mid
15713144,Ingrassia,0.4872,0,Mid
15593969,Abramovich,0.4869,0,Mid
15775306,Ni,0.4862,0,Mid
15672132,Butusov,0.4861,0,Mid
15635776,Trevisani,0.4855,0,Mid
15679148,Oliver,0.4837,0,Mid
15770101,Millar,0.4823,0,Mid
15786905,Russo,0.48,0,Mid
15690134,Hughes,0.4799,0,Mid
15628972,Nebeolisa,0.478,0,Mid
15651063,Ifeatu,0.4779,0,Mid
15788291,Okwuadigbo,0.4772,0,Mid
15633574,Montes,0.477,0,Mid
15752026,Hammer,0.4736,0,Mid
15659843,Li,0.4687,0,Mid
15645956,Jideofor,0.4665,0,Mid
15640078,Chambers,0.4646,0,Mid
15684951,He,0.4636,0,Mid
15688071,Collins,0.4625,0,Mid
15769064,Marshall,0.4624,0,Mid
15571973,Chinwemma,0.4622,0,Mid
15688963,Ingram,0.4619,0,Mid
15575410,Chidiegwu,0.4605,0,Mid
15726589,Matveyev,0.4582,0,Mid
15615020,Nnaife,0.4559,0,Mid
15623471,Marcelo,0.4553,0,Mid
15756539,Marshall,0.4534,0,Mid
15571221,Bergamaschi,0.4527,0,Mid
15658052,Cameron,0.4518,0,Mid
15605037,Ting,0.4513,0,Mid
15761043,Macleod,0.4505,0,Mid
15595228,Wanliss,0.4502,0,Mid
15691111,Pai,0.4489,0,Mid
15780804,Nucci,0.4486,0,Mid
15760294,Endrizzi,0.4485,0,Mid
15688880,Amechi,0.4468,0,Mid
15612108,Norman,0.4464,0,Mid
15727490,Scott,0.4441,0,Mid
15654238,Jen,0.4421,0,Mid
15706647,Jordan,0.4403,0,Mid
15725818,Chibuzo,0.4391,0,Mid
15686963,Hardiman,0.4391,0,Mid
15810218,Sun,0.4379,0,Mid
15633650,Woods,0.4346,0,Mid
15747795,Pai,0.4339,0,Mid
15770974,Nwabugwu,0.4309,0,Mid
15718247,Hayden,0.4303,0,Mid
15801466,Gray,0.4294,0,Mid
15641416,Shaffer,0.4291,0,Mid
15715951,Thorpe,0.4264,0,Mid
15595135,Solomon,0.4262,0,Mid
15737265,Nwokeocha,0.4195,0,Mid
15567399,Enderby,0.4157,0,Mid
15581620,Franklin,0.4152,0,Mid
15787459,Parkes,0.4093,0,Mid
15803804,Walker,0.4087,0,Mid
15735246,Norman,0.4078,0,Mid
15675501,Woods,0.4033,0,Mid
15738672,Paterson,0.4032,0,Mid
15745107,Lung,0.4018,0,Mid
15765694,Bage,0.4015,0,Mid
15806132,Martin,0.3997,0,Mid
15626787,Wei,0.3997,0,Mid
15674922,Beavers,0.3995,0,Mid
15625641,Forbes,0.3992,0,Mid
15646566,Bell,0.3978,0,Mid
15705515,Lazarev,0.3976,0,Mid
15738751,Beit,0.3962,0,Mid
15685329,McKenzie,0.3957,0,Mid
15737605,Morris,0.3946,0,Mid
15596175,McIntosh,0.3927,0,Mid
15758449,Angelo,0.3925,0,Mid
15647301,Bray,0.3919,0,Mid
15715003,Ko,0.3891,0,Mid
15635939,Fenton,0.3884,0,Mid
15705512,Welch,0.3837,0,Mid
15566211,Hsu,0.3801,0,Mid
15644572,Turnbull,0.3799,0,Mid
15693267,Dickson,0.3791,0,Mid
15715297,Yuan,0.378,0,Mid
15726354,Smith,0.3758,0,Mid
15587421,Tsai,0.3746,0,Mid
15721658,Fleming,0.3732,0,Mid
15733974,Mao,0.3724,0,Mid
15651983,Fang,0.3677,0,Mid
15630698,Hay,0.3676,0,Mid
15652883,Chung,0.3672,0,Mid
15775888,McDonald,0.3667,0,Mid
15618182,Ndubueze,0.3656,0,Mid
15700854,Cunningham,0.3637,0,Mid
15769974,Shih,0.3581,0,Mid
15738318,Kung,0.3574,0,Mid
15603134,Pai,0.3569,0,Mid
15777576,Frost,0.3568,0,Mid
15779497,Ts'ai,0.3567,0,Mid
15785485,Zhou,0.3536,0,Mid
15777211,Herrera,0.3524,0,Mid
15704763,Kozlova,0.3508,0,Mid
15683544,Buccho,0.3497,0,Mid
15771636,Marshall,0.3485,0,Mid
15591123,Iredale,0.3481,0,Mid
15743532,Ball,0.3475,0,Mid
15651802,Day,0.3473,0,Mid
15755638,Mancini,0.3473,0,Mid
15748797,Dale,0.3471,0,Mid
15602034,Kolesnikov,0.3452,0,Mid
15567446,Coffman,0.3447,0,Mid
15713578,Farrell,0.3437,0,Mid
15737792,Abbie,0.3435,0,Mid
15812338,Sopuluchukwu,0.3429,0,Mid
15792388,Li,0.3425,0,Mid
15623521,Sozonov,0.3424,0,Mid
15787619,Hsieh,0.342,0,Mid
15684865,Lucchesi,0.3412,0,Mid
15578799,Anayolisa,0.3393,0,Mid
15809722,Ankudinov,0.3389,0,Mid
15633531,Lavrov,0.3341,0,Mid
15616451,Genovese,0.3328,0,Mid
15726931,Onwumelu,0.3327,0,Mid
15769312,Forbes,0.3321,0,Mid
15620204,Walker,0.3299,0,Mid
15629323,Kelechi,0.3285,0,Mid
15629448,Brady,0.3283,0,Mid
15682600,Lo,0.3281,0,Mid
15571816,Ritchie,0.3278,0,Mid
15772601,Lu,0.3271,0,Mid
15769005,Hayward,0.3224,0,Mid
15770420,Dillon,0.3211,0,Mid
15668818,Chidubem,0.3205,0,Mid
15690925,McIntosh,0.3196,0,Mid
15604314,Webb,0.319,0,Mid
15643966,Goforth,0.3181,0,Mid
15649744,Fallaci,0.3165,0,Mid
15732270,Hung,0.3165,0,Mid
15787529,Gray,0.3148,0,Mid
15689980,Willis,0.3139,0,Mid
15778463,Ikenna,0.3102,0,Mid
15627801,Ginikanwa,0.31,0,Mid
15746737,Eames,0.3095,0,Mid
15589643,Ngozichukwuka,0.3094,0,Mid
15613749,Lees,0.3091,0,Mid
15743040,Kuznetsova,0.3085,0,Mid
15791268,Neumann,0.3082,0,Mid
15675320,Leonard,0.307,0,Mid
15659651,Ross,0.3061,0,Mid
15782569,Stout,0.3061,0,Mid
15578866,Hughes,0.3055,0,Mid
15718673,Mirams,0.3049,0,Mid
15605918,Padovesi,0.3039,0,Mid
15637650,Williams,0.3033,0,Mid
15777923,Johnston,0.3014,0,Mid
15753969,K'ung,0.2995,0,Low
15658929,Taverner,0.2981,0,Low
15719856,Lamb,0.2978,0,Low
15804919,Dunbabin,0.2964,0,Low
15770174,Piazza,0.2951,0,Low
15733616,Sopuluchukwu,0.2951,0,Low
15569807,Ejimofor,0.2932,0,Low
15781589,Carpenter,0.293,0,Low
15583364,McGregor,0.2915,0,Low
15782735,Chukwuemeka,0.2908,0,Low
15762418,Gant,0.29,0,Low
15782899,Ginn,0.2899,0,Low
15658532,Nnamutaezinwa,0.2897,0,Low
15792525,Lei,0.2896,0,Low
15804516,Builder,0.2888,0,Low
15742229,Mackay,0.2879,0,Low
15747591,Chung,0.2877,0,Low
15628170,Brown,0.2875,0,Low
15722765,Owen,0.2874,0,Low
15720649,Ferdinand,0.2861,0,Low
15640268,Avdeeva,0.2843,0,Low
15814032,Hsieh,0.2835,0,Low
15566494,Fang,0.2829,0,Low
15733581,Duncan,0.2816,0,Low
15682268,Steere,0.2812,0,Low
15810457,Miller,0.2799,0,Low
15625461,Amos,0.2797,0,Low
15804072,Chen,0.2764,0,Low
15593973,Wilkie,0.2749,0,Low
15607347,Olisaemeka,0.2747,0,Low
15805112,Pokrovsky,0.2729,0,Low
15671766,Enyinnaya,0.2727,0,Low
15766908,Trevisani,0.2726,0,Low
15626114,Pearson,0.2721,0,Low
15649124,Fang,0.2721,0,Low
15626983,Ledford,0.2705,0,Low
15668669,Benson,0.2705,0,Low
15677512,McEncroe,0.2701,0,Low
15684269,Gray,0.2699,0,Low
15766374,Leak,0.2689,0,Low
15685706,Bird,0.2683,0,Low
15567993,Palmer,0.2674,0,Low
15805254,Ndukaku,0.2666,0,Low
15716449,Fraser,0.2665,0,Low
15610426,Tien,0.266,0,Low
15631912,T'ao,0.2658,0,Low
15690673,Cameron,0.2657,0,Low
15604044,Mitchell,0.2656,0,Low
15724307,Mitchell,0.2653,0,Low
15650258,Sinclair,0.265,0,Low
15701333,Blackburn,0.2641,0,Low
15659428,Maggard,0.2635,0,Low
15683625,Hare,0.2635,0,Low
15568595,Fleming,0.2634,0,Low
15761348,Kuo,0.263,0,Low
15780038,Paterson,0.2626,0,Low
15761141,Palerma,0.2623,0,Low
15773487,Conway,0.2618,0,Low
15664639,McGregor,0.2617,0,Low
15711309,Sumrall,0.2609,0,Low
15729832,Cheng,0.2606,0,Low
15588350,McIntyre,0.2603,0,Low
15635459,Shih,0.2579,0,Low
15687130,Nkemjika,0.2578,0,Low
15667458,L?,0.2576,0,Low
15746410,Thompson,0.2572,0,Low
15565779,Kent,0.2571,0,Low
15661670,Chidozie,0.257,0,Low
15723339,Chin,0.2556,0,Low
15750248,Wright,0.2555,0,Low
15719352,Davidson,0.2552,0,Low
15677173,Law,0.2551,0,Low
15719958,Degtyarev,0.2551,0,Low
15739131,Whitworth,0.254,0,Low
15749004,Tsao,0.2532,0,Low
15774098,Grant,0.2531,0,Low
15623196,Morley,0.253,0,Low
15746594,Wu,0.2526,0,Low
15667620,Dreyer,0.2525,0,Low
15780144,Tisdall,0.251,0,Low
15749050,Justice,0.2486,0,Low
15568106,L?,0.2479,0,Low
15680918,Freeman,0.2473,0,Low
15717046,Wentworth-Shields,0.2468,0,Low
15654851,Obialo,0.2468,0,Low
15694200,Gardner,0.2466,0,Low
15779711,Gray,0.2465,0,Low
15652955,Price,0.2456,0,Low
15686255,Mouzon,0.2455,0,Low
15666823,Nebechi,0.2454,0,Low
15720284,Crawford,0.2431,0,Low
15769829,Cheng,0.2422,0,Low
15652527,Champion,0.242,0,Low
15748947,Chukwuraenye,0.2419,0,Low
15734886,Mazzi,0.2416,0,Low
15594594,Loggia,0.2416,0,Low
15582797,Ch'iu,0.2415,0,Low
15592846,Fiorentini,0.2412,0,Low
15605926,Sinclair,0.241,0,Low
15715465,Aksenova,0.2406,0,Low
15736816,Young,0.2405,0,Low
15812518,Palermo,0.2398,0,Low
15778934,Napolitani,0.2397,0,Low
15732175,Bruno,0.2388,0,Low
15783444,Endrizzi,0.2367,0,Low
15582616,Y?an,0.2366,0,Low
15635078,Chiemela,0.2355,0,Low
15681446,Sun,0.2354,0,Low
15681562,Trevisan,0.2353,0,Low
15787155,Yang,0.2346,0,Low
15659475,Chung,0.2339,0,Low
15580684,Feng,0.2327,0,Low
15688619,Scott,0.2319,0,Low
15681843,Barbour,0.231,0,Low
15725997,She,0.2302,0,Low
15600710,Atkinson,0.23,0,Low
15719309,Stephens,0.2293,0,Low
15660316,Stephenson,0.2292,0,Low
15646196,Yeh,0.2289,0,Low
15625623,Stevenson,0.2278,0,Low
15747867,Trevisani,0.2275,0,Low
15721303,O'Meara,0.2266,0,Low
15814209,Capon,0.226,0,Low
15592979,Rose,0.2258,0,Low
15792660,Gibbons,0.2257,0,Low
15809100,Nucci,0.2244,0,Low
15750808,Ma,0.2234,0,Low
15751208,Pirozzi,0.223,0,Low
15617518,Hu,0.2222,0,Low
15669064,Mazzanti,0.222,0,Low
15676715,Madukaego,0.2214,0,Low
15747542,Perez,0.2197,0,Low
15663489,Onio,0.2196,0,Low
15765902,Gibson,0.2188,0,Low
15571305,Stephenson,0.218,0,Low
15650288,Summers,0.2174,0,Low
15790659,Sheets,0.2174,0,Low
15805062,Lynton,0.2174,0,Low
15762138,Hu,0.2159,0,Low
15586243,Yobachi,0.2155,0,Low
15771211,Perkins,0.2155,0,Low
15615012,Fan,0.2149,0,Low
15757811,Lloyd,0.2141,0,Low
15702430,Ignatyeva,0.2135,0,Low
15813034,Martin,0.2133,0,Low
15673055,Sung,0.2128,0,Low
15746726,Doyle,0.2123,0,Low
15756680,Phillips,0.2122,0,Low
15592116,Jensen,0.2118,0,Low
15781702,Brookes,0.2108,0,Low
15683677,Schiavone,0.2103,0,Low
15776433,Greco,0.2099,0,Low
15785078,Fomin,0.2094,0,Low
15675328,Knight,0.2091,0,Low
15762169,Bergman,0.2087,0,Low
15636731,Ts'ai,0.2087,0,Low
15588986,Grant,0.208,0,Low
15632264,Kay,0.2077,0,Low
15808182,Beneventi,0.2071,0,Low
15737888,Mitchell,0.2069,0,Low
15625047,Yen,0.2056,0,Low
15723873,Ponomarev,0.205,0,Low
15686611,Moss,0.2048,0,Low
15619889,Vasin,0.2045,0,Low
15586993,Giordano,0.2039,0,Low
15701555,Nicholls,0.2038,0,Low
15596800,Hill,0.2032,0,Low
15724127,McLean,0.2019,0,Low
15794122,Otutodilinna,0.2008,0,Low
15785980,Williford,0.2006,0,Low
15688074,Gregory,0.2002,0,Low
15647975,Vida,0.1992,0,Low
15682528,Cremonesi,0.1986,0,Low
15811236,Burns,0.1986,0,Low
15621083,Douglas,0.1985,0,Low
15656176,Jenkins,0.1985,0,Low
15741295,Yefimova,0.1983,0,Low
15715541,Yang,0.198,0,Low
15583748,McGuigan,0.1975,0,Low
15780961,Cavenagh,0.1961,0,Low
15590320,Shelton,0.196,0,Low
15786993,Lung,0.1957,0,Low
15765812,Trevisani,0.1946,0,Low
15663885,Blinova,0.1936,0,Low
15759021,Kay,0.1934,0,Low
15571752,Romani,0.1934,0,Low
15619529,Ndukaku,0.1931,0,Low
15743067,Fuller,0.1924,0,Low
15585047,Onyemere,0.1919,0,Low
15710450,Okwudiliolisa,0.1919,0,Low
15772933,Mai,0.1909,0,Low
15708505,Palerma,0.1903,0,Low
15769948,Palerma,0.189,0,Low
15775912,Mazzanti,0.1874,0,Low
15689044,Humphries,0.1874,0,Low
15758171,Tien,0.1866,0,Low
15720662,Sholes,0.1863,0,Low
15744919,Genovese,0.1857,0,Low
15777352,Ikedinachukwu,0.1853,0,Low
15799350,Mao,0.1851,0,Low
15569209,Amaechi,0.1851,0,Low
15635972,Lloyd,0.185,0,Low
15742238,Dellucci,0.1847,0,Low
15646539,Liao,0.1838,0,Low
15794278,Romani,0.1837,0,Low
15600781,Wu,0.1834,0,Low
15695632,Dellucci,0.1833,0,Low
15809006,Walker,0.182,0,Low
15608968,Averyanov,0.182,0,Low
15685357,Wright,0.181,0,Low
15734491,Lombardo,0.1796,0,Low
15590820,Ecuyer,0.1794,0,Low
15776231,Kent,0.1794,0,Low
15678626,Okonkwo,0.1789,0,Low
15794479,Becker,0.1778,0,Low
15751788,Johnson,0.1777,0,Low
15726032,Enyinnaya,0.1776,0,Low
15631460,Swift,0.1773,0,Low
15686936,McGregor,0.1772,0,Low
15692744,Davison,0.1765,0,Low
15689612,Pirozzi,0.1759,0,Low
15677871,Cocci,0.1759,0,Low
15740104,Tuan,0.1755,0,Low
15732660,Black,0.175,0,Low
15614934,McEwan,0.1749,0,Low
15813917,Kirk,0.1745,0,Low
15703588,Palerma,0.174,0,Low
15812191,Brennan,0.1738,0,Low
15641183,Chin,0.1728,0,Low
15631159,H?,0.1728,0,Low
15679024,Udinesi,0.1726,0,Low
15772632,Ts'ui,0.1722,0,Low
15671609,Ibeabuchi,0.172,0,Low
15641655,Black,0.1718,0,Low
15745012,Pettit,0.1714,0,Low
15797733,Udobata,0.171,0,Low
15720671,Ibezimako,0.1709,0,Low
15690079,Boniwell,0.1707,0,Low
15639322,Grave,0.1697,0,Low
15570134,Padovano,0.1696,0,Low
15798310,Palerma,0.1686,0,Low
15647782,Brown,0.1685,0,Low
15567422,Chiazagomekpele,0.1675,0,Low
15615032,Peng,0.1668,0,Low
15650098,Baranova,0.1661,0,Low
15781034,Mason,0.166,0,Low
15645511,Chukwudi,0.1658,0,Low
15573741,Aliyeva,0.1657,0,Low
15778155,T'ien,0.1641,0,Low
15804394,Brenan,0.164,0,Low
15706552,Odinakachukwu,0.1639,0,Low
15617603,Mackay,0.1635,0,Low
15576517,Everingham,0.1632,0,Low
15634267,Yudin,0.1623,0,Low
15630920,Du Cane,0.1611,0,Low
15769346,Baird,0.1605,0,Low
15697441,Hsueh,0.1604,0,Low
15754605,Jarvis,0.16,0,Low
15615624,De Salis,0.1599,0,Low
15668958,Chatfield,0.1592,0,Low
15720187,Han,0.159,0,Low
15706021,Buley,0.1588,0,Low
15616380,Wheeler,0.1582,0,Low
15718944,Artemiev,0.1568,0,Low
15807432,Cheng,0.1564,0,Low
15572360,Clark,0.1562,0,Low
15613713,Kozlova,0.1558,0,Low
15602312,Walkom,0.1554,0,Low
15798906,Cox,0.1545,0,Low
15687477,Thompson,0.1544,0,Low
15701765,Vincent,0.1523,0,Low
15604782,Tan,0.1521,0,Low
15761986,Obialo,0.1517,0,Low
15645621,Hunter,0.1512,0,Low
15582960,Short,0.1508,0,Low
15635660,Rossi,0.1506,0,Low
15628936,Archer,0.1506,0,Low
15711540,Pacheco,0.1503,0,Low
15585835,Lord,0.15,0,Low
15787071,Dulhunty,0.1495,0,Low
15656333,Jen,0.1492,0,Low
15618225,Porter,0.1488,0,Low
15685320,Johnstone,0.1485,0,Low
15713854,Cremonesi,0.148,0,Low
15696098,Palermo,0.1477,0,Low
15731522,Ts'ui,0.1471,0,Low
15759317,Vasilieva,0.1468,0,Low
15727281,Macintyre,0.1454,0,Low
15770525,T'an,0.1444,0,Low
15634375,Duncan,0.1438,0,Low
15608886,Okwudiliolisa,0.1418,0,Low
15682547,Lucchese,0.1416,0,Low
15639882,She,0.1414,0,Low
15802351,Beers,0.1413,0,Low
15669922,Conti,0.1411,0,Low
15706186,McKenzie,0.1402,0,Low
15739502,Amaechi,0.1402,0,Low
15595282,White,0.1402,0,Low
15757916,Amaechi,0.1394,0,Low
15599131,Dilke,0.1382,0,Low
15716324,Ignatieff,0.1381,0,Low
15725835,West,0.1381,0,Low
15697307,Nnachetam,0.138,0,Low
15613282,Vorobyova,0.1377,0,Low
15750649,Uwakwe,0.1375,0,Low
15723250,Teng,0.1374,0,Low
15600879,Parsons,0.1374,0,Low
15719809,Endrizzi,0.136,0,Low
15575883,Manna,0.1352,0,Low
15732674,Fennell,0.1348,0,Low
15765806,Wu,0.1347,0,Low
15802256,Yao,0.1345,0,Low
15683841,Hamilton,0.1343,0,Low
15716284,Ward,0.1339,0,Low
15711398,Fetherstonhaugh,0.1335,0,Low
15617866,Calabrese,0.1335,0,Low
15594864,Huang,0.1328,0,Low
15591607,Fernie,0.1324,0,Low
15701265,Tretiakov,0.1315,0,Low
15802501,Onyeorulu,0.1311,0,Low
15700353,Evans,0.1305,0,Low
15625524,Rowe,0.1303,0,Low
15814275,Zikoranachidimma,0.1302,0,Low
15640865,Romano,0.1301,0,Low
15713655,Calabrese,0.13,0,Low
15682890,Woronoff,0.1298,0,Low
15797010,Shen,0.1296,0,Low
15597909,Johnstone,0.1279,0,Low
15689176,Fabro,0.1275,0,Low
15667651,Young,0.1273,0,Low
15754849,Tyler,0.1273,0,Low
15712287,Pokrovskii,0.1272,0,Low
15702741,Potts,0.1271,0,Low
15657214,Hsia,0.1268,0,Low
15603925,Greco,0.1262,0,Low
15704586,Osonduagwuike,0.1261,0,Low
15633612,Yuryeva,0.126,0,Low
15581539,Atkinson,0.126,0,Low
15603203,Avdeyeva,0.1259,0,Low
15715941,Lueck,0.1257,0,Low
15604345,Kemp,0.1257,0,Low
15679642,Feng,0.1255,0,Low
15810786,O'Toole,0.1251,0,Low
15792649,Patterson,0.1247,0,Low
15624229,Noble,0.1242,0,Low
15724443,Taylor,0.1235,0,Low
15633897,Owen,0.1234,0,Low
15569222,Mendes,0.1231,0,Low
15623828,Akobundu,0.123,0,Low
15648735,Cashin,0.1228,0,Low
15712543,Chinweike,0.1227,0,Low
15631201,Hill,0.1225,0,Low
15602551,Johnson,0.1224,0,Low
15672704,Jackson,0.1223,0,Low
15768387,Nott,0.1214,0,Low
15615096,Costa,0.1212,0,Low
15649418,Krylov,0.1202,0,Low
15569451,Miller,0.12,0,Low
15796721,Nnamutaezinwa,0.1199,0,Low
15815626,Oluchi,0.1197,0,Low
15773809,Campbell,0.1189,0,Low
15785519,May,0.1187,0,Low
15608387,Fu,0.1182,0,Low
15725024,Pope,0.1181,0,Low
15748116,Zetticci,0.118,0,Low
15735719,Babbage,0.1175,0,Low
15685109,Teng,0.1174,0,Low
15812750,Ozioma,0.1173,0,Low
15631072,Huie,0.1169,0,Low
15591766,Crawford,0.1163,0,Low
15741429,Hudson,0.1157,0,Low
15571148,Baranov,0.1152,0,Low
15644753,Hung,0.1152,0,Low
15585284,Thomson,0.1146,0,Low
15679299,Shen,0.1144,0,Low
15710404,Chinwendu,0.1144,0,Low
15685150,Evans,0.1138,0,Low
15713608,Tuan,0.1127,0,Low
15603846,Fang,0.1127,0,Low
15583576,Tai,0.1124,0,Low
15620507,Siciliani,0.1123,0,Low
15709324,Bruce,0.1119,0,Low
15583049,Wallace,0.1119,0,Low
15654463,Moore,0.1119,0,Low
15604304,Perry,0.1113,0,Low
15612627,Ozuluonye,0.1108,0,Low
15686909,Lung,0.1107,0,Low
15574004,Mancini,0.1098,0,Low
15765537,Liang,0.1097,0,Low
15660155,Lorenzo,0.1095,0,Low
15684267,Davila,0.1095,0,Low
15610056,Dufresne,0.1092,0,Low
15717898,Bruce,0.1092,0,Low
15669410,Yevdokimova,0.1085,0,Low
15715920,De Bernales,0.1083,0,Low
15793726,Matveyeva,0.108,0,Low
15795228,Stewart,0.1063,0,Low
15666252,Ritchie,0.1062,0,Low
15604482,Chiemezie,0.1058,0,Low
15790683,Matthews,0.1048,0,Low
15609618,Fanucci,0.1042,0,Low
15605263,Chin,0.104,0,Low
15679909,Pugliesi,0.1037,0,Low
